i,time_utc,side,entry,sl,tp,atr,R,outcome,risk_usd,pnl_usd,equity_after
191,2025-08-21T17:45:00+00:00,sell,1.16061,1.16103,1.15935,0.00028,-1.0,SL,1.64,-1.64,162.76
192,2025-08-22T06:26:00+00:00,sell,1.16027,1.16041,1.15985,9e-05,3.0,TP,1.63,4.88,167.64
193,2025-08-22T06:27:00+00:00,sell,1.16021,1.16035,1.15979,9e-05,3.0,TP,1.68,5.03,172.67
194,2025-08-22T06:28:00+00:00,sell,1.16015,1.16029,1.15973,9e-05,3.0,TP,1.73,5.18,177.85
195,2025-08-22T06:29:00+00:00,sell,1.16007,1.16021,1.15965,9e-05,3.0,TP,1.78,5.34,183.18
196,2025-08-22T06:31:00+00:00,sell,1.15996,1.16011,1.1595,0.0001,3.0,TP,1.83,5.5,188.68
197,2025-08-22T06:32:00+00:00,sell,1.15995,1.1601,1.1595,0.0001,3.0,TP,1.89,5.66,194.34
198,2025-08-22T06:37:00+00:00,sell,1.15975,1.15992,1.15925,0.00011,3.0,TP,1.94,5.83,200.17
199,2025-08-22T06:38:00+00:00,sell,1.15922,1.15945,1.15853,0.00015,-1.0,SL,2.0,-2.0,198.17
200,2025-08-22T06:39:00+00:00,sell,1.1592,1.15943,1.1585,0.00016,-1.0,SL,1.98,-1.98,196.19
201,2025-08-22T06:48:00+00:00,sell,1.15914,1.15936,1.15848,0.00015,-1.0,SL,1.96,-1.96,194.22
202,2025-08-22T06:58:00+00:00,sell,1.15892,1.15912,1.15831,0.00014,-1.0,SL,1.94,-1.94,192.28
203,2025-08-22T06:59:00+00:00,sell,1.15892,1.15912,1.15832,0.00013,-1.0,SL,1.92,-1.92,190.36
204,2025-08-22T07:20:00+00:00,sell,1.15887,1.15903,1.15838,0.00011,3.0,TP,1.9,5.71,196.07
205,2025-08-22T07:21:00+00:00,sell,1.15884,1.159,1.15835,0.00011,3.0,TP,1.96,5.88,201.95
206,2025-08-22T07:23:00+00:00,sell,1.15881,1.15898,1.15831,0.00011,3.0,TP,2.02,6.06,208.01
207,2025-08-22T07:28:00+00:00,sell,1.15844,1.15862,1.15789,0.00012,-1.0,SL,2.08,-2.08,205.93
