i,time_lagos,side,entry,sl,tp,atr,R,outcome,equity_before,risk_usd,pnl_usd,equity_after
469,2025-08-27T12:06:00+01:00,sell,1.15975,1.16002,1.15895,0.00018,3.0,TP,243.99,2.44,7.32,251.31
470,2025-08-27T12:08:00+01:00,sell,1.15954,1.15981,1.15872,0.00018,3.0,TP,251.31,2.51,7.54,258.85
471,2025-08-27T12:09:00+01:00,sell,1.1595,1.15977,1.1587,0.00018,3.0,TP,258.85,2.59,7.77,266.62
472,2025-08-27T12:10:00+01:00,sell,1.15935,1.15963,1.15852,0.00019,3.0,TP,266.62,2.67,8.0,274.62
473,2025-08-27T12:13:00+01:00,sell,1.1591,1.15938,1.15827,0.00018,3.0,TP,274.62,2.75,8.24,282.86
474,2025-08-27T12:14:00+01:00,sell,1.15906,1.15935,1.1582,0.00019,3.0,TP,282.86,2.83,8.49,291.34
475,2025-08-27T12:15:00+01:00,sell,1.15875,1.15905,1.15784,0.0002,-1.0,SL,291.34,2.91,-2.91,288.43
476,2025-08-27T12:16:00+01:00,sell,1.15866,1.15896,1.15776,0.0002,-1.0,SL,288.43,2.88,-2.88,285.54
477,2025-08-27T12:31:00+01:00,sell,1.15805,1.15842,1.15693,0.00025,-1.0,SL,285.54,2.86,-2.86,282.69
478,2025-08-27T12:32:00+01:00,sell,1.15834,1.15874,1.15715,0.00026,-1.0,SL,282.69,2.83,-2.83,279.86
479,2025-08-27T12:34:00+01:00,sell,1.15771,1.15815,1.15639,0.00029,-1.0,SL,279.86,2.8,-2.8,277.06
480,2025-08-28T08:03:00+01:00,sell,1.1641,1.16423,1.1637,9e-05,-1.0,SL,277.06,2.77,-2.77,274.29
481,2025-08-28T08:04:00+01:00,sell,1.16406,1.16419,1.16366,9e-05,-1.0,SL,274.29,2.74,-2.74,271.55
482,2025-08-28T08:05:00+01:00,sell,1.164,1.16413,1.1636,9e-05,-1.0,SL,271.55,2.72,-2.72,268.83
483,2025-08-28T08:07:00+01:00,sell,1.164,1.16413,1.1636,9e-05,-1.0,SL,268.83,2.69,-2.69,266.15
484,2025-08-28T08:33:00+01:00,sell,1.16405,1.16416,1.16371,8e-05,-1.0,SL,266.15,2.66,-2.66,263.48
485,2025-08-28T09:31:00+01:00,sell,1.16378,1.16389,1.16346,7e-05,-1.0,SL,263.48,2.63,-2.63,260.85
486,2025-08-28T09:32:00+01:00,sell,1.1637,1.16381,1.16337,7e-05,-1.0,SL,260.85,2.61,-2.61,258.24
487,2025-08-28T09:33:00+01:00,sell,1.16368,1.16379,1.16334,7e-05,-1.0,SL,258.24,2.58,-2.58,255.66
488,2025-08-28T09:35:00+01:00,sell,1.16371,1.16382,1.16337,7e-05,-1.0,SL,255.66,2.56,-2.56,253.1
489,2025-08-28T09:38:00+01:00,sell,1.16364,1.16376,1.16329,8e-05,-1.0,SL,253.1,2.53,-2.53,250.57
490,2025-08-28T09:42:00+01:00,sell,1.16357,1.16368,1.16323,8e-05,-1.0,SL,250.57,2.51,-2.51,248.07
491,2025-08-29T11:54:00+01:00,buy,1.16746,1.16715,1.16838,0.00021,-1.0,SL,248.07,2.48,-2.48,245.58
492,2025-08-29T11:55:00+01:00,buy,1.16757,1.16726,1.16851,0.00021,-1.0,SL,245.58,2.46,-2.46,243.13
493,2025-08-29T12:02:00+01:00,buy,1.16775,1.16744,1.16867,0.0002,-1.0,SL,243.13,2.43,-2.43,240.7
494,2025-08-29T12:30:00+01:00,buy,1.16812,1.16786,1.16889,0.00017,3.0,TP,240.7,2.41,7.22,247.92
495,2025-08-29T12:31:00+01:00,buy,1.16807,1.16781,1.16884,0.00017,3.0,TP,247.92,2.48,7.44,255.36
496,2025-08-29T12:32:00+01:00,buy,1.16845,1.16816,1.16931,0.00019,-1.0,SL,255.36,2.55,-2.55,252.8
497,2025-08-29T12:33:00+01:00,buy,1.16874,1.16843,1.16967,0.00021,-1.0,SL,252.8,2.53,-2.53,250.27
498,2025-08-29T18:16:00+01:00,buy,1.1684,1.16794,1.16979,0.00031,3.0,TP,250.27,2.5,7.51,257.78
499,2025-08-29T18:32:00+01:00,buy,1.16966,1.16923,1.17095,0.00029,-1.0,SL,257.78,2.58,-2.58,255.2
500,2025-08-29T18:33:00+01:00,buy,1.16955,1.16912,1.17083,0.00029,-1.0,SL,255.2,2.55,-2.55,252.65
501,2025-08-29T18:34:00+01:00,buy,1.16975,1.16932,1.17104,0.00029,-1.0,SL,252.65,2.53,-2.53,250.13
502,2025-08-29T18:57:00+01:00,buy,1.1702,1.16972,1.17164,0.00032,-1.0,SL,250.13,2.5,-2.5,247.62
503,2025-08-29T18:58:00+01:00,buy,1.1702,1.16972,1.17163,0.00032,-1.0,SL,247.62,2.48,-2.48,245.15
504,2025-08-29T18:59:00+01:00,buy,1.17039,1.16992,1.1718,0.00031,-1.0,SL,245.15,2.45,-2.45,242.7
505,2025-08-29T19:00:00+01:00,buy,1.17037,1.16992,1.17172,0.0003,-1.0,SL,242.7,2.43,-2.43,240.27
506,2025-08-29T19:01:00+01:00,buy,1.17057,1.17011,1.17194,0.0003,-1.0,SL,240.27,2.4,-2.4,237.87
507,2025-09-01T06:00:00+01:00,buy,1.16962,1.16943,1.1702,0.00013,3.0,TP,237.87,2.38,7.14,245.0
508,2025-09-01T06:01:00+01:00,buy,1.16962,1.16944,1.17017,0.00012,3.0,TP,245.0,2.45,7.35,252.35
509,2025-09-01T06:04:00+01:00,buy,1.16972,1.16954,1.17025,0.00012,3.0,TP,252.35,2.52,7.57,259.92
